Voucher Type,ID,state_name,Zone,Branch_name,Route,PartyName,CategoryName,PaymentType,CreatedDate,VoucherDate,VoucherNo,Bill Type,Salesman,Taxable,CGST,SGST,IGST,VoucherAMT,Discount,Realisable amount,RecieveAMT,Differance,RMODE,GroupName,ItemCOde,TaxPerc,qty,Freeqty ,TotalAmt,FreeAmount,Rate,DiscAmount,Helper 1,KL MT OUTLETS,TN MT OUTLETS,Category,NEW SKU,Division,Customer name,District for milk,District for Dashboard,ZONE FOR MT ,GROUPING FOR ITEM,Column1
Sales,7463212,Kerala,ERNAKULAM ZONE,ELANADU MILK KOTTAYAM,KUMARAKAM,#FRUIT BAE,MILK KL,CASH PAYMENT,24-02-2023,01-08-2025,KSKM7548/25,B2C,ALBINANIL,834,0,0,0,834,0,834,0,834,,000FG MILK,SM 450,0,30,0,834,0,27.8,0,#FRUIT BAE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422990,Kerala,MALAPPURAM ZONE,GOKULAM DISTRIBUTION (ELANADU MILK OLLUR),KDGLR,(mvk) abbas,MILK KL,CASH PAYMENT,07-10-2021,01-08-2025,OSKD28275/25,B2C,ANISHK,417,0,0,0,417,0,417,417,0,,000FG MILK,SM 450,0,15,0,417,0,27.8,0,(mvk) abbas000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7430931,Kerala,CALICUT ZONE,ELANADU MILK CALICUT,KODUVALLY,(zINE) BADR BACKERS_&_CAFE,NORMAL,CASH PAYMENT,25-01-2024,01-08-2025,CASK25556/25,B2C,HARSHAD T,556,0,0,0,556,0,556,556,0,Cash,000FG MILK,SM 450,0,20,0,556,0,27.8,0,(zINE) BADR BACKERS_&_CAFE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422176,Kerala,ERNAKULAM ZONE,ELANADU MILK ERNAKULAM,FORTKOCHI,",JMJ STORE",MILK KL,CASH PAYMENT,15-01-2022,01-08-2025,EKSFO24499/25,B2C,GINEESHKR ,129,0,0,0,129,0,129,129,0,Cash,000FG MILK,CM 475,0,5,0,129,0,25.8,0,",JMJ STORE000FG MILK",,,,YES,Not in Master,,0,,,,
Sales,7419131,Tamil Nadu,TAMILNADU,ELANADU MILK DINDIGUL,DINDIGUL,",Selvam tea stall",MILK TN,CASH PAYMENT,03-12-2024,01-08-2025,DGLSD10978/25,B2C,DINESH KUMAR,419.66,1.14,1.14,0,422,0,422,500,-78,,000FG MILK,FCM 1000,0,4,0,272,0,68,0,",Selvam tea stall000FG MILK",,,,YES,Not in Master,,0,,,,
Sales,7419131,Tamil Nadu,TAMILNADU,ELANADU MILK DINDIGUL,DINDIGUL,",Selvam tea stall",MILK TN,CASH PAYMENT,03-12-2024,01-08-2025,DGLSD10978/25,B2C,DINESH KUMAR,419.66,1.14,1.14,0,422,0,422,500,-78,,000FG MILK,FCM 120,0,12,0,102,0,8.5,0,",Selvam tea stall000FG MILK",,,,YES,Not in Master,,0,,,,
Sales,7419131,Tamil Nadu,TAMILNADU,ELANADU MILK DINDIGUL,DINDIGUL,",Selvam tea stall",MILK TN,CASH PAYMENT,03-12-2024,01-08-2025,DGLSD10978/25,B2C,DINESH KUMAR,419.66,1.14,1.14,0,422,0,422,500,-78,,001 FG CURD,DTC125,5,6,0,45.66,0,7.61,0,",Selvam tea stall001 FG CURD",,,,YES,Not in Master,,,,,,
Sales,7419412,Kerala,ERNAKULAM ZONE,ELANADU MILK ERNAKULAM,FORTKOCHI,.ARYA STR,MILK KL,CASH PAYMENT,10-08-2023,01-08-2025,EKSFO24448/25,B2C,GINEESHKR ,463.67,1.17,1.17,0,466,0,466,466,0,Cash,000FG MILK,SM 450,0,15,0,417,0,27.8,0,.ARYA STR000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7419412,Kerala,ERNAKULAM ZONE,ELANADU MILK ERNAKULAM,FORTKOCHI,.ARYA STR,MILK KL,CASH PAYMENT,10-08-2023,01-08-2025,EKSFO24448/25,B2C,GINEESHKR ,463.67,1.17,1.17,0,466,0,466,466,0,Cash,4FG AGRO,BATTER,5,1,0,46.67,0,46.67,0,.ARYA STR4FG AGRO,,,,NO,Not in Master,,,,,,
Sales Return,87265,Kerala,MALAPPURAM ZONE,ELANADU MILK ELANADU(PKD),KANNAMBRA,.ASANAR,MILK KL,CASH PAYMENT,07-10-2021,01-08-2025,ESRNA272/25,B2C,LAKSHMANAN.C T,0,,,,0,,0,0,0,,000FG MILK,SM 450,0,0,1,0,0,27.8,0,.ASANAR000FG MILK,,,,YES,Not in Master,,,,,,
