Voucher Type,ID,state_name,Zone,Branch_name,Route,PartyName,CategoryName,PaymentType,CreatedDate,VoucherDate,VoucherNo,Bill Type,Salesman,Taxable,CGST,SGST,IGST,VoucherAMT,Discount,Realisable amount,RecieveAMT,Differance,RMODE,GroupName,ItemCOde,TaxPerc,qty, Freeqty ,TotalAmt,FreeAmount,Rate,DiscAmount,Helper 1,KL MT OUTLETS,TN MT OUTLETS,Category,NEW SKU,Division,Customer name,District for milk,District for Dashboard,ZONE FOR MT 
Sales,7424885,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSBMT2645/25,B2B,SANAL  KUMAR,3239.06,97.93,97.93,0,3435,0,3435,0,3435,,000FG MILK,SM 450,0,5,0,138,0,27.6,0,A TO Z HYPER MARKET 1000FG MILK,A TO Z,,MILK,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales,7424885,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSBMT2645/25,B2B,SANAL  KUMAR,3239.06,97.93,97.93,0,3435,0,3435,0,3435,,001 FG CURD,CC 1000 ,5,2,0,215.54,0,107.77,0,A TO Z HYPER MARKET 1001 FG CURD,A TO Z,,Fat Curd IML,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales,7424885,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSBMT2645/25,B2B,SANAL  KUMAR,3239.06,97.93,97.93,0,3435,0,3435,0,3435,,001 FG CURD,TIC 400,5,15,0,492,0,32.8,0,A TO Z HYPER MARKET 1001 FG CURD,A TO Z,,Fat Curd TMC,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales,7424885,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSBMT2645/25,B2B,SANAL  KUMAR,3239.06,97.93,97.93,0,3435,0,3435,0,3435,,001 FG CURD,YGM100,5,18,0,411.48,0,22.86,0,A TO Z HYPER MARKET 1001 FG CURD,A TO Z,,Yogurt,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales,7424885,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSBMT2645/25,B2B,SANAL  KUMAR,3239.06,97.93,97.93,0,3435,0,3435,0,3435,,FG,BTR 100,12,10,0,582.6,0,58.26,0,A TO Z HYPER MARKET 1FG,A TO Z,,Butter,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales,7424885,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSBMT2645/25,B2B,SANAL  KUMAR,3239.06,97.93,97.93,0,3435,0,3435,0,3435,,FG,PNR 200,5,14,0,1399.44,0,99.96,0,A TO Z HYPER MARKET 1FG,A TO Z,,Paneer,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales Return,87306,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSRMT373/25,B2B,SANAL  KUMAR,0,,,,0,,0,0,0,,000FG MILK,CM 475,0,0,0,0,0,25.79,0,A TO Z HYPER MARKET 1000FG MILK,A TO Z,,CM,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales Return,87307,Kerala,MALAPPURAM ZONE,ELANADU MILK PALAKAD(TTF),MODERNTRADE TTF,A TO Z HYPER MARKET 1,MODERN TRADE KL,15 DAYS CREDIT,11-09-2024,01-08-2025,TSRMT374/25,B2B,SANAL  KUMAR,0,,,,0,,0,0,0,,000FG MILK,SM 450,0,0,0,0,0,27.6,0,A TO Z HYPER MARKET 1000FG MILK,A TO Z,,MILK,NO,MT Kerala,A TO Z,PALAKKAD TTF,PALAKKAD,CENTRAL  ZONE
Sales,7429991,Kerala,TRIVANDRUM ZONE,ELANADU MILK ADOOR,KOTTARAKKARA,A TO Z S/M,MILK KL,2 DAY CREDIT,27-10-2021,01-08-2025,ADSKA24933/25,B2C,RATHEESHKUMARM,1935,0,0,0,1935,0,1935,1938,-3,Cash,000FG MILK,CM 475,0,75,3,1935,77.4,25.8,0,A TO Z S/M000FG MILK,,,CM,NO,Milk KL,,ADOOR,,
Sales,7429992,Kerala,TRIVANDRUM ZONE,ELANADU MILK ADOOR,KOTTARAKKARA,A TO Z S/M,MILK KL,2 DAY CREDIT,27-10-2021,01-08-2025,ADSKA24934/25,B2C,RATHEESHKUMARM,129,0,0,0,129,0,129,126,3,Cash,000FG MILK,CM 475,0,5,0,129,0,25.8,0,A TO Z S/M000FG MILK,,,CM,NO,Milk KL,,ADOOR,,
